paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,-1.805024506,sub11,yes
masking,visible,f,-9.820191874,sub11,yes
masking,visible,f,7.529744675,sub11,yes
masking,visible,f,5.963509289,sub11,yes
masking,visible,f,3.283277884,sub11,yes
masking,visible,f,-3.217843331,sub11,yes
masking,visible,f,4.233168661,sub11,yes
masking,visible,f,-5.495660053,sub11,yes
masking,visible,f,-6.201928589,sub11,yes
masking,visible,f,3.675854728,sub11,yes
masking,visible,f,-1.981844222,sub11,yes
masking,visible,f,6.228075862,sub11,yes
masking,visible,f,0.481604837,sub11,yes
masking,visible,f,-1.530287267,sub11,yes
masking,visible,f,-2.975761751,sub11,yes
masking,visible,f,-5.423420257,sub11,yes
masking,visible,f,0.83774426,sub11,yes
masking,visible,f,-0.35824712,sub11,yes
masking,visible,f,1.426221901,sub11,yes
masking,visible,f,-0.763667656,sub11,yes
masking,visible,f,-3.410795655,sub11,yes
masking,visible,f,1.003161717,sub11,yes
masking,visible,f,4.461047131,sub11,yes
masking,visible,f,-1.935426457,sub11,yes
masking,visible,f,-1.347757154,sub11,yes
masking,visible,f,0.869437318,sub11,yes
masking,visible,f,0.176572311,sub11,yes
masking,visible,f,0.537599706,sub11,yes
masking,visible,f,-4.488256124,sub11,yes
masking,visible,f,-11.67972109,sub11,yes
masking,visible,f,-4.304857732,sub11,yes
masking,visible,f,-5.614220207,sub11,yes
masking,visible,f,-5.137550182,sub11,yes
masking,visible,f,-2.551513849,sub11,yes
masking,visible,f,0.038214728,sub11,yes
masking,visible,f,-1.382543363,sub11,yes
masking,visible,f,-6.743449016,sub11,yes
masking,visible,f,-2.223096423,sub11,yes
masking,visible,f,-3.293399497,sub11,yes
masking,visible,f,4.126524726,sub11,yes
masking,visible,f,5.853563307,sub11,yes
masking,visible,f,-5.554282647,sub11,yes
masking,visible,f,2.351918419,sub11,yes
masking,visible,f,-4.258072969,sub11,yes
masking,visible,f,2.008303287,sub11,yes
masking,visible,f,-2.036194261,sub11,yes
masking,visible,f,-3.636918893,sub11,yes
masking,visible,f,2.539924081,sub11,yes
masking,visible,f,-8.31225945,sub11,yes
masking,visible,f,-2.412989237,sub11,yes
masking,visible,f,-1.342534498,sub11,yes
masking,visible,f,2.306347775,sub11,yes
masking,visible,f,-1.311345924,sub11,yes
masking,visible,f,-2.181160141,sub11,yes
masking,visible,f,3.558041008,sub11,yes
masking,visible,f,-3.957871567,sub11,yes
masking,visible,f,-1.961332693,sub11,yes
masking,visible,f,5.773438862,sub11,yes
masking,visible,f,-2.26122984,sub11,yes
masking,visible,f,0.065767489,sub11,yes
masking,visible,f,-2.747545047,sub11,yes
masking,visible,f,-3.115989735,sub12,yes
masking,visible,f,-2.397501427,sub12,yes
masking,visible,f,-0.572338041,sub12,yes
masking,visible,f,-1.858072143,sub12,yes
masking,visible,f,-0.466135383,sub12,yes
masking,visible,f,-1.778325941,sub12,yes
masking,visible,f,-2.072037276,sub12,yes
masking,visible,f,2.687055109,sub12,yes
masking,visible,f,1.955931603,sub12,yes
masking,visible,f,-0.477417514,sub12,yes
masking,visible,f,-3.788225743,sub12,yes
masking,visible,f,-1.885576072,sub12,yes
masking,visible,f,0.096913332,sub12,yes
masking,visible,f,4.954124979,sub12,yes
masking,visible,f,5.997579949,sub12,yes
masking,visible,f,-3.342612836,sub12,yes
masking,visible,f,-4.384412598,sub12,yes
masking,visible,f,-1.704004803,sub12,yes
masking,visible,f,2.022848382,sub12,yes
masking,visible,f,2.764931293,sub12,yes
masking,visible,f,2.009293323,sub12,yes
masking,visible,f,0.220308355,sub12,yes
masking,visible,f,-4.637214688,sub12,yes
masking,visible,f,-1.501753992,sub12,yes
masking,visible,f,-3.562300459,sub12,yes
masking,visible,f,0.997534304,sub12,yes
masking,visible,f,1.062320379,sub12,yes
masking,visible,f,-6.427444254,sub12,yes
masking,visible,f,-3.711567329,sub12,yes
masking,visible,f,-1.180252689,sub12,yes
masking,visible,f,0.534774335,sub12,yes
masking,visible,f,-2.83798007,sub12,yes
masking,visible,f,0.527469208,sub12,yes
masking,visible,f,-2.044248263,sub12,yes
masking,visible,f,-2.799262936,sub12,yes
masking,visible,f,-1.196423794,sub12,yes
masking,visible,f,-6.952501325,sub12,yes
masking,visible,f,-3.314179318,sub12,yes
masking,visible,f,-0.99518353,sub12,yes
masking,visible,f,-1.38673978,sub12,yes
masking,visible,f,-0.393188048,sub12,yes
masking,visible,f,-0.423419801,sub12,yes
masking,visible,f,-29.2280011,sub12,yes
masking,visible,f,-1.739543396,sub12,yes
masking,visible,f,-1.364970349,sub12,yes
masking,visible,f,-4.016287987,sub12,yes
masking,visible,f,6.655594493,sub12,yes
masking,visible,f,-0.769166073,sub12,yes
masking,visible,f,0.596851134,sub12,yes
masking,visible,f,-0.54416596,sub12,yes
masking,visible,f,1.951192313,sub12,yes
masking,visible,f,-0.141052512,sub12,yes
masking,visible,f,-0.128886122,sub12,yes
masking,visible,f,-7.607994542,sub12,yes
masking,visible,f,-4.523472884,sub12,yes
masking,visible,f,-2.52487725,sub12,yes
