paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,-5.490946498,sub11,yes
masking,visible,f,9.189279325,sub11,yes
masking,visible,f,6.815811582,sub11,yes
masking,visible,f,4.505275249,sub11,yes
masking,visible,f,-1.624860713,sub11,yes
masking,visible,f,6.881967247,sub11,yes
masking,visible,f,-5.206563328,sub11,yes
masking,visible,f,-4.638135176,sub11,yes
masking,visible,f,5.836578523,sub11,yes
masking,visible,f,0.818249297,sub11,yes
masking,visible,f,10.57991304,sub11,yes
masking,visible,f,3.028970021,sub11,yes
masking,visible,f,1.940929326,sub11,yes
masking,visible,f,-2.676175277,sub11,yes
masking,visible,f,-2.645985054,sub11,yes
masking,visible,f,2.188153922,sub11,yes
masking,visible,f,1.543849009,sub11,yes
masking,visible,f,3.245016373,sub11,yes
masking,visible,f,0.66109769,sub11,yes
masking,visible,f,-1.925168318,sub11,yes
masking,visible,f,2.702646998,sub11,yes
masking,visible,f,5.893275478,sub11,yes
masking,visible,f,1.857599275,sub11,yes
masking,visible,f,1.869546458,sub11,yes
masking,visible,f,1.760086362,sub11,yes
masking,visible,f,1.561106785,sub11,yes
masking,visible,f,3.029595995,sub11,yes
masking,visible,f,1.807300394,sub11,yes
masking,visible,f,-8.155935006,sub11,yes
masking,visible,f,-0.473411448,sub11,yes
masking,visible,f,-0.955582334,sub11,yes
masking,visible,f,-4.412535957,sub11,yes
masking,visible,f,-1.577730061,sub11,yes
masking,visible,f,3.332823219,sub11,yes
masking,visible,f,2.36134553,sub11,yes
masking,visible,f,-5.195444565,sub11,yes
masking,visible,f,-1.074676964,sub11,yes
masking,visible,f,-1.479073259,sub11,yes
masking,visible,f,2.665350354,sub11,yes
masking,visible,f,4.266176029,sub11,yes
masking,visible,f,-1.999905531,sub11,yes
masking,visible,f,5.046538201,sub11,yes
masking,visible,f,-3.903689084,sub11,yes
masking,visible,f,3.733763783,sub11,yes
masking,visible,f,-0.069988858,sub11,yes
masking,visible,f,-2.220988519,sub11,yes
masking,visible,f,3.218992326,sub11,yes
masking,visible,f,-4.463119909,sub11,yes
masking,visible,f,-0.507625651,sub11,yes
masking,visible,f,2.648469268,sub11,yes
masking,visible,f,3.527463544,sub11,yes
masking,visible,f,1.027985792,sub11,yes
masking,visible,f,2.577029681,sub11,yes
masking,visible,f,5.183301522,sub11,yes
masking,visible,f,-1.59126595,sub11,yes
masking,visible,f,1.132682306,sub11,yes
masking,visible,f,7.272229641,sub11,yes
masking,visible,f,0.967916747,sub11,yes
masking,visible,f,1.986105695,sub11,yes
masking,visible,f,-2.112251773,sub11,yes
masking,visible,f,-1.747298996,sub12,yes
masking,visible,f,-0.909674025,sub12,yes
masking,visible,f,1.152789817,sub12,yes
masking,visible,f,-1.109279888,sub12,yes
masking,visible,f,1.979614474,sub12,yes
masking,visible,f,-2.193202938,sub12,yes
masking,visible,f,-0.403550872,sub12,yes
masking,visible,f,3.348800497,sub12,yes
masking,visible,f,3.85318615,sub12,yes
masking,visible,f,-0.113132676,sub12,yes
masking,visible,f,-3.417223515,sub12,yes
masking,visible,f,-0.337218784,sub12,yes
masking,visible,f,2.615986235,sub12,yes
masking,visible,f,6.242963645,sub12,yes
masking,visible,f,6.91503039,sub12,yes
masking,visible,f,-1.818292674,sub12,yes
masking,visible,f,-2.270036746,sub12,yes
masking,visible,f,0.164703831,sub12,yes
masking,visible,f,6.237313747,sub12,yes
masking,visible,f,3.140600256,sub12,yes
masking,visible,f,3.760548489,sub12,yes
masking,visible,f,1.22333584,sub12,yes
masking,visible,f,-3.754263048,sub12,yes
masking,visible,f,-0.75635865,sub12,yes
masking,visible,f,-2.363902432,sub12,yes
masking,visible,f,1.019581282,sub12,yes
masking,visible,f,3.739916885,sub12,yes
masking,visible,f,-4.653524483,sub12,yes
masking,visible,f,-2.443806036,sub12,yes
masking,visible,f,-0.827916367,sub12,yes
masking,visible,f,2.508986252,sub12,yes
masking,visible,f,-1.781257128,sub12,yes
masking,visible,f,1.825972611,sub12,yes
masking,visible,f,0.087460035,sub12,yes
masking,visible,f,-0.763100013,sub12,yes
masking,visible,f,-0.215654566,sub12,yes
masking,visible,f,-6.018424532,sub12,yes
masking,visible,f,-1.436733087,sub12,yes
masking,visible,f,0.569541895,sub12,yes
masking,visible,f,0.618424711,sub12,yes
masking,visible,f,0.518740669,sub12,yes
masking,visible,f,2.889917905,sub12,yes
masking,visible,f,-18.53851144,sub12,yes
masking,visible,f,-1.963913345,sub12,yes
masking,visible,f,0.72709344,sub12,yes
masking,visible,f,-1.133481695,sub12,yes
masking,visible,f,10.54535401,sub12,yes
masking,visible,f,-0.378588305,sub12,yes
masking,visible,f,1.839490066,sub12,yes
masking,visible,f,-1.39365257,sub12,yes
masking,visible,f,4.224418665,sub12,yes
masking,visible,f,1.151316503,sub12,yes
masking,visible,f,0.11909725,sub12,yes
masking,visible,f,-3.041337193,sub12,yes
masking,visible,f,-2.77636887,sub12,yes
masking,visible,f,-0.132495825,sub12,yes
masking,visible,f,0.924598098,sub12,yes
masking,visible,f,-6.278200327,sub12,yes
masking,visible,f,-3.5523098,sub12,yes
masking,visible,f,-7.756323799,sub12,yes
masking,visible,f,-1.610599017,sub12,yes
masking,visible,f,1.531006935,sub12,yes
masking,visible,f,3.094324759,sub12,yes
masking,visible,f,-0.897264093,sub12,yes
masking,visible,f,1.654850572,sub12,yes
masking,visible,f,3.607898541,sub12,yes
masking,visible,f,-4.036478018,sub12,yes
masking,visible,f,10.32548365,sub12,yes
masking,visible,f,-0.775690013,sub12,yes
masking,visible,f,-4.088900479,sub12,yes
masking,visible,f,-1.315471695,sub12,yes
masking,visible,f,-0.322807505,sub12,yes
masking,visible,f,5.010084039,sub12,yes
masking,visible,f,3.177094808,sub12,yes
masking,visible,f,6.614954651,sub12,yes
masking,visible,f,-6.779418316,sub12,yes
masking,visible,f,0.904668848,sub12,yes
masking,visible,f,-0.606507327,sub12,yes
masking,visible,f,3.59755589,sub12,yes
masking,visible,f,-2.029733637,sub12,yes
masking,visible,f,0.238471976,sub12,yes
masking,visible,f,-3.367812966,sub12,yes
masking,visible,f,-1.941574556,sub12,yes
masking,visible,f,1.853136155,sub12,yes
masking,visible,f,-1.659120196,sub12,yes
masking,visible,f,-0.798793685,sub12,yes
masking,visible,f,2.978808079,sub12,yes
masking,visible,f,-3.193543894,sub12,yes
masking,visible,f,-3.825082455,sub12,yes
masking,visible,f,-0.978964734,sub12,yes
masking,visible,f,-3.574724344,sub12,yes
masking,visible,f,0.565747287,sub12,yes
masking,visible,f,5.988550458,sub12,yes
masking,visible,f,-0.192175659,sub12,yes
masking,visible,f,0.232285422,sub12,yes
masking,visible,f,2.134804792,sub12,yes
masking,visible,f,-2.666910099,sub12,yes
masking,visible,f,-0.966582557,sub12,yes
masking,visible,f,0.983389852,sub12,yes
masking,visible,f,3.57208529,sub12,yes
masking,visible,f,-3.804903427,sub12,yes
masking,visible,f,0.077977253,sub12,yes
masking,visible,f,6.826497293,sub12,yes
masking,visible,f,0.207358858,sub12,yes
masking,visible,f,2.184413925,sub12,yes
masking,visible,f,1.111029466,sub12,yes
masking,visible,f,2.553229269,sub12,yes
masking,visible,f,-2.384389616,sub12,yes
masking,visible,f,4.271250236,sub12,yes
masking,visible,f,-1.31378645,sub12,yes
masking,visible,f,-4.49326557,sub12,yes
masking,visible,f,6.761349634,sub12,yes
masking,visible,f,-3.219627162,sub12,yes
masking,visible,f,1.12961355,sub12,yes
masking,visible,f,4.286325349,sub12,yes
masking,visible,f,-3.821057251,sub12,yes
masking,visible,f,2.040740211,sub12,yes
masking,visible,f,1.92431035,sub12,yes
masking,visible,f,8.599512935,sub14,yes
masking,visible,f,-1.248604418,sub14,yes
masking,visible,f,-6.360904448,sub14,yes
masking,visible,f,-1.172362777,sub14,yes
masking,visible,f,-1.058834653,sub14,yes
masking,visible,f,1.435413664,sub14,yes
masking,visible,f,-4.950490917,sub14,yes
masking,visible,f,-2.011835267,sub14,yes
masking,visible,f,-2.281900288,sub14,yes
masking,visible,f,-2.154387158,sub14,yes
masking,visible,f,-3.201738214,sub14,yes
masking,visible,f,-4.690741895,sub14,yes
masking,visible,f,4.318675339,sub14,yes
masking,visible,f,-3.755743942,sub14,yes
masking,visible,f,-5.765776565,sub14,yes
masking,visible,f,-5.237753303,sub14,yes
masking,visible,f,-0.466830641,sub14,yes
masking,visible,f,-7.416527239,sub14,yes
masking,visible,f,-5.518995119,sub14,yes
